30, 19, 18, 06, 12
33, 07, 14, 06, 12
34, 17, 39, 33, 24
23, 01, 28, 06, 30
03, 01, 07, 38, 25
20, 07, 18, 09, 32
32, 26, 27, 20, 37
03, 05, 11, 01, 18
10, 15, 09, 24, 05
08, 11, 37, 31, 29
40, 32, 24, 20, 18
16, 08, 20, 07, 12
36, 25, 33, 12, 39
21, 11, 15, 01, 38
30, 40, 22, 19, 21
09, 24, 10, 05, 19
29, 24, 32, 34, 30
02, 27, 08, 09, 14
11, 39, 31, 40, 13
09, 29, 13, 20, 36
25, 10, 05, 07, 27
15, 16, 04, 32, 31
24, 14, 16, 10, 09
34, 18, 03, 11, 21
38, 13, 22, 07, 08
34, 26, 32, 06, 05
10, 40, 15, 12, 33
04, 18, 36, 14, 32
29, 28, 15, 12, 38
30, 05, 03, 11, 27
04, 22, 29, 01, 23
21, 19, 28, 01, 34
03, 27, 40, 00, 08
02, 23, 04, 37, 18
27, 11, 22, 37, 34
18, 10, 06, 30, 27
25, 18, 12, 01, 14
09, 22, 11, 36, 04
22, 29, 32, 40, 07
09, 40, 04, 01, 08
25, 33, 06, 15, 01
38, 13, 27, 07, 37
38, 13, 29, 15, 25
01, 26, 02, 32, 05
00, 34, 01, 03, 06
39, 32, 11, 12, 04
21, 29, 36, 14, 22
26, 08, 05, 40, 32
03, 38, 37, 26, 10
29, 23, 07, 40, 09
24, 02, 30, 37, 08
10, 04, 26, 27, 08
15, 17, 06, 32, 11
40, 38, 34, 07, 12
13, 07, 06, 18, 11
11, 36, 02, 23, 33
30, 37, 34, 23, 00
09, 06, 07, 01, 04
19, 38, 37, 24, 09
36, 19, 32, 12, 33
37, 10, 11, 09, 02
05, 40, 11, 14, 06
11, 03, 18, 23, 08
19, 40, 22, 11, 14
02, 05, 38, 27, 18
18, 22, 35, 10, 04
03, 14, 34, 01, 24
00, 26, 02, 03, 25
00, 26, 09, 32, 18
39, 00, 08, 28, 17
10, 30, 02, 00, 31
25, 23, 40, 34, 06
19, 22, 27, 09, 31
00, 21, 19, 17, 34
28, 02, 27, 16, 18
36, 26, 01, 16, 37
04, 23, 31, 07, 12
15, 31, 11, 32, 37
08, 01, 17, 38, 23
26, 40, 18, 12, 09
05, 20, 29, 40, 36
16, 34, 29, 23, 04
20, 38, 36, 27, 40
37, 35, 21, 09, 20
10, 34, 20, 31, 36
34, 05, 07, 16, 24
32, 00, 36, 37, 24
23, 38, 16, 22, 08
23, 38, 06, 25, 16
05, 06, 34, 36, 25
20, 08, 00, 21, 22
09, 33, 37, 16, 06
22, 37, 26, 34, 16
10, 26, 19, 06, 02
18, 07, 12, 39, 00
16, 24, 05, 02, 13
24, 17, 21, 34, 16
14, 23, 27, 17, 34
26, 13, 07, 30, 40
18, 25, 00, 07, 20
27, 02, 33, 03, 35
20, 02, 32, 36, 29
32, 12, 36, 22, 26
07, 24, 28, 23, 27
18, 33, 26, 00, 01
20, 39, 04, 03, 25
24, 20, 13, 32, 03
06, 00, 09, 01, 21
40, 33, 37, 36, 30
11, 01, 22, 14, 30
12, 16, 37, 24, 38
26, 15, 35, 21, 02
06, 30, 33, 39, 37
16, 39, 17, 18, 06
27, 40, 13, 34, 29
07, 29, 15, 14, 04
28, 06, 39, 30, 00
10, 02, 22, 09, 01
05, 00, 15, 01, 35
22, 26, 15, 34, 27
30, 39, 02, 16, 09
00, 28, 24, 05, 33
14, 25, 40, 01, 23
06, 05, 13, 26, 03
25, 30, 18, 14, 06
10, 19, 06, 28, 05
07, 03, 06, 20, 22
39, 16, 28, 07, 25
33, 36, 25, 08, 27
20, 38, 01, 17, 29
23, 09, 04, 31, 22
02, 39, 10, 14, 31
38, 29, 16, 40, 23
07, 20, 34, 00, 15
36, 10, 17, 08, 23
07, 10, 08, 32, 17
16, 06, 40, 32, 35
10, 31, 16, 04, 18
13, 24, 33, 08, 36
04, 20, 34, 29, 22
15, 11, 34, 03, 10
20, 21, 19, 33, 06
37, 26, 33, 21, 03
26, 18, 07, 01, 22
22, 29, 13, 14, 30
40, 16, 10, 19, 15
09, 32, 35, 17, 18
33, 10, 39, 26, 00
07, 10, 21, 34, 40
00, 24, 08, 20, 17
27, 17, 22, 00, 20
34, 02, 32, 07, 35
03, 02, 34, 36, 16
36, 05, 31, 30, 28
02, 09, 33, 14, 23
09, 35, 34, 16, 24
23, 35, 22, 12, 28
34, 37, 32, 40, 24
34, 10, 24, 01, 08
15, 30, 07, 33, 06
07, 21, 32, 27, 06
22, 35, 17, 15, 16
02, 04, 33, 29, 09
21, 07, 05, 13, 36
01, 39, 28, 37, 26
27, 06, 12, 10, 34
32, 02, 36, 35, 00
05, 36, 01, 09, 40
36, 23, 34, 01, 35
23, 30, 12, 39, 18
21, 03, 32, 18, 10
13, 11, 08, 23, 39
37, 28, 01, 04, 29
22, 37, 06, 21, 26
08, 12, 00, 09, 23
14, 28, 31, 29, 37
31, 06, 34, 13, 08
34, 33, 12, 23, 02
26, 19, 37, 28, 27
36, 10, 33, 22, 11
17, 25, 23, 12, 02
02, 32, 34, 22, 11
11, 01, 38, 08, 05
12, 25, 33, 06, 10
35, 26, 37, 04, 15
02, 21, 15, 27, 39
38, 18, 29, 34, 09
34, 20, 08, 28, 10
22, 17, 28, 32, 35
06, 04, 01, 27, 40
01, 30, 05, 15, 08
27, 02, 19, 04, 18
27, 38, 08, 01, 32
10, 13, 22, 19, 05
05, 30, 39, 02, 24
28, 07, 20, 40, 30
05, 32, 37, 34, 23
14, 24, 34, 29, 30
